iform	iclass	category	extension	isa_set	mode	bytes	xed_iform	xed_length	decoder_contract	operand_contract	legality_contract	formatter_contract	evidence_state	blocker
CCMPB_GPR8i8_IMM8_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 7c 02 80 f8 00	CCMPB_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_GPR8i8_MEMi8_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 78 02 3a 00	CCMPB_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_GPRv_IMMz_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 7d 02 81 f8 00 00	CCMPB_GPRv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_GPRv_MEMv_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 78 02 3b 00	CCMPB_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_MEMi8_GPR8i8_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 78 02 38 00	CCMPB_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_MEMi8_IMM8_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 78 02 80 38 00	CCMPB_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_MEMv_GPRv_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 78 02 39 00	CCMPB_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_MEMv_IMM8_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 79 02 83 38 00	CCMPB_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPB_MEMv_IMMz_DFV_APX_N3	CCMPB	APX	APXEVEX	APX_F_N3	64	62 f4 79 02 81 38 00 00	CCMPB_MEMv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPF_GPR8i8_GPR8i8_DFV_APX_N3	CCMPF	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0b 38 c0	CCMPF_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
