form_id	instruction_set	internal_name	mnemonic	alias_mnemonics	assembly_template	width	fixed_mask	fixed_value	fixed_bits	features	operation_id	condition_digest	assertions_digest	coverage_status	cdisasm_name	cdisasm_name_id	name_match_kind	name_match_rule	source_name_reference	success_cases	missing_cases	profile_cases
A32/dp/xldst/ldstxreg/LDRH_r_A1_post	A32	LDRH_r_A1_post	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x001000b0	15		LDRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_r_post_f11		
A32/dp/xldst/ldstxreg/LDRH_r_A1_pre	A32	LDRH_r_A1_pre	LDRH		LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x013000b0	15		LDRH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_r_pre_f12		
A32/dp/xldst/ldstxreg/LDRSB_r_A1_off	A32	LDRSB_r_A1_off	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x011000d0	15		LDRSB_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_r_off_f13		
A32/dp/xldst/ldstxreg/LDRSB_r_A1_post	A32	LDRSB_r_A1_post	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x001000d0	15		LDRSB_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_r_post_f14		
A32/dp/xldst/ldstxreg/LDRSB_r_A1_pre	A32	LDRSB_r_A1_pre	LDRSB		LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x013000d0	15		LDRSB_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_r_pre_f15		
A32/dp/xldst/ldstxreg/LDRSH_r_A1_off	A32	LDRSH_r_A1_off	LDRSH		LDRSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]	32	0x0f700ff0	0x011000f0	15		LDRSH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSH	223	exact		True	a32_ldrsh_r_off_f16		
A32/dp/xldst/ldstxreg/LDRSH_r_A1_post	A32	LDRSH_r_A1_post	LDRSH		LDRSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21>]<rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>	32	0x0f700ff0	0x001000f0	15		LDRSH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSH	223	exact		True	a32_ldrsh_r_post_f17		
A32/dp/xldst/ldstxreg/LDRSH_r_A1_pre	A32	LDRSH_r_A1_pre	LDRSH		LDRSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__21><rule:COMMA><rule:plus_or_minus_option__3><rule:Rm__16>]<rule:BANG>	32	0x0f700ff0	0x013000f0	15		LDRSH_r	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSH	223	exact		True	a32_ldrsh_r_pre_f18		
A32/dp/xldst/ldstxreg/STRHT_A2	A32	STRHT_A2	STRHT		STRHT<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__12>]<rule:COMMA><rule:plus_or_minus_option__4><rule:Rm__16>	32	0x0f700ff0	0x002000b0	15		STRHT	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRHT	1643	exact		True	a32_strht_r_f19		
A32/dp/xldst/ldstxreg/LDRHT_A2	A32	LDRHT_A2	LDRHT		LDRHT<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__12>]<rule:COMMA><rule:plus_or_minus_option__4><rule:Rm__16>	32	0x0f700ff0	0x003000b0	15		LDRHT	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRHT	1074	exact		True	a32_ldrht_r_f20		
A32/dp/xldst/ldstxreg/LDRSBT_A2	A32	LDRSBT_A2	LDRSBT		LDRSBT<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__12>]<rule:COMMA><rule:plus_or_minus_option__4><rule:Rm__16>	32	0x0f700ff0	0x003000d0	15		LDRSBT	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSBT	1075	exact		True	a32_ldrsbt_r_f21		
A32/dp/xldst/ldstxreg/LDRSHT_A2	A32	LDRSHT_A2	LDRSHT		LDRSHT<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__12>]<rule:COMMA><rule:plus_or_minus_option__4><rule:Rm__16>	32	0x0f700ff0	0x003000f0	15		LDRSHT	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSHT	1076	exact		True	a32_ldrsht_r_f22		
A32/dp/xldst/ldstximm/LDRD_l_A1	A32	LDRD_l_A1	LDRD	LDRD	LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA><rule:imm4H_imm4L>	32	0x0f7f00f0	0x014f00d0	15		LDRD_l	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_literal_f23		
A32/dp/xldst/ldstximm/LDRH_l_A1	A32	LDRH_l_A1	LDRH	LDRH	LDRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA><rule:imm4H_imm4L>	32	0x0e5f00f0	0x005f00b0	13		LDRH_l	79d1484b4cfe4ee1587e81825f19094ed0879ec1981ba5d9be0b39348e762e4c	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRH	27	exact		True	a32_ldrh_literal_f24		
A32/dp/xldst/ldstximm/LDRSB_l_A1	A32	LDRSB_l_A1	LDRSB	LDRSB	LDRSB<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA><rule:imm4H_imm4L>	32	0x0e5f00f0	0x005f00d0	13		LDRSB_l	79d1484b4cfe4ee1587e81825f19094ed0879ec1981ba5d9be0b39348e762e4c	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSB	222	exact		True	a32_ldrsb_literal_f25		
A32/dp/xldst/ldstximm/LDRSH_l_A1	A32	LDRSH_l_A1	LDRSH	LDRSH	LDRSH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA><rule:imm4H_imm4L>	32	0x0e5f00f0	0x005f00f0	13		LDRSH_l	79d1484b4cfe4ee1587e81825f19094ed0879ec1981ba5d9be0b39348e762e4c	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRSH	223	exact		True	a32_ldrsh_literal_f26		
A32/dp/xldst/ldstximm/LDRD_i_A1_off	A32	LDRD_i_A1_off	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__13><rule:OPT_SPACE><rule:plus_or_minus_option_imm4h_imm4l_choice>]	32	0x0f7000f0	0x014000d0	11		LDRD_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_i_off_f27		
A32/dp/xldst/ldstximm/LDRD_i_A1_post	A32	LDRD_i_A1_post	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__13>]<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>	32	0x0f7000f0	0x004000d0	11		LDRD_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_i_post_f28		
A32/dp/xldst/ldstximm/LDRD_i_A1_pre	A32	LDRD_i_A1_pre	LDRD		LDRD<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt__3><rule:COMMA><rule:Rt2__2><rule:COMMA>[<rule:Rn__13><rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>]<rule:BANG>	32	0x0f7000f0	0x016000d0	11		LDRD_i	57db9f354ab51cf856069714be0a9941568b25742d8a7931167a42988b558e77	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	LDRD	1069	exact		True	a32_ldrd_i_pre_f29		
A32/dp/xldst/ldstximm/STRH_i_A1_off	A32	STRH_i_A1_off	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__15><rule:OPT_SPACE><rule:plus_or_minus_option_imm4h_imm4l_choice>]	32	0x0f7000f0	0x014000b0	11		STRH_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_i_off_f30		
A32/dp/xldst/ldstximm/STRH_i_A1_post	A32	STRH_i_A1_post	STRH		STRH<rule:cond_choice><rule:qw_option_choice><rule:SPACE><rule:Rt><rule:COMMA>[<rule:Rn__14>]<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm4H_imm4L__2>	32	0x0f7000f0	0x004000b0	11		STRH_i	97da5f3ca848bafbcda1e945a4c7a9b7e432ab68b2111425b5d8de47762cf843	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	corpus_reachable	STRH	49	exact		True	a32_strh_i_post_f31		
