binding_set_id	first_binding	binding_count	digest
64	688	14	07586036c6f6cbc0472bb0e155432b1bcdbfc49808201f548392b308da99d044
65	702	13	8a6c841910b268386a6b7e122cb90e883bf74b7824b965a64d8a26f1d5fc8257
66	715	13	006047aa5e585cebc24b3ca7f3406d9ceba403b383d132723760c238948049e5
67	728	13	8a7b36b47c0ce485765271158bbdc6514660ebbc372c81087678c995547c47a5
68	741	12	680a2be8f33ffdd147587cfbce3519f007473858c2858b20588f606368bd841a
69	753	12	528c29d5b44d4a23a85869de1546503cdba8e69434e6e72abdc9c865d34796aa
70	765	11	ec7fccd5f8f4c6aebb5c777a1c2e1406d2128eca9774a465db80f1ca64f7edd3
71	776	11	63aaa4f939e1de68c65d817280cef716077400f19e1b510ef447f2c950aadd22
72	787	11	baa98748e7084aa6030427e92e486fa4ec79976faab0126d1ade8569412263d9
73	798	11	7bd3f4b43772e8507da678f84b2b095afab35bbca14e57b1a50a4e230cf396b5
74	809	15	3b402df4426ca6a1f8376fdc2efaaf7b62a967a70aed9cce12b9973c8fc8f971
75	824	15	f657bd8be13642e870b79b62edb4d81dde55753cee12f08d10b76c87cad1098a
76	839	14	61108e928dc6388318039ae7f9d669614a5352c99b1be37140a8e765cc1977d8
77	853	13	1b099b9659f6c848af32507ff8aa63aef4f53f9f7b8996aa57ca4f8db0b11104
78	866	16	40adb0cbc2fb7d65cf10075f9efd8dc0791b753d572ae6c5a6f771de5db99575
79	882	16	36a736bae9c94bc8bfa870ebe546680f958a187ea56050a2fc7536f983bc20c1
80	898	15	cebf8a6fe2f0210073c00a31cd8b46c8c5824336fd80fa7b5d310ff34b159f9f
81	913	14	114b4b2f31ebed837efe4dd5c0a59ad97b66409178a0975ffef9851de66a2dc1
82	927	16	817a6013ee2eadd1c41d00d28a53fd11d8b29acd6f67158a212c5945ceea0f7c
83	943	15	f961719c688777dbbe15f7ef626fc2d07e87be5bb614a375f3ddec692278c80d
84	958	15	f0b2f42b903fddfe2e03b8732586f7e561015f01884e8c050272b97388d78439
85	973	14	4d89040bd06396c832a5af81659198c51c89a3fecdb9abeb7726c8a74fc1c8db
86	987	15	f1bb5625f6118e3377eeff305fd6fb4be92ea396f6ba45baddb4686d7283ea29
87	1002	14	40864c2818f3d0ddf64322f0ba13bb5f1218f42bc252130212a822838ae12555
88	1016	14	8cc893ed50ebefcf6ed733ce99a962d967dfdaaa87234fc102249e1e32720d80
89	1030	13	1a7541b8669c312d7798701a47b6de368544cc2891d6be6999b26248b6b64fe0
90	1043	16	2edfb4f200defee1bc44ebf0f688aeb44c15a9227623721bf973046aff0e47b1
91	1059	17	1299767d22b1f2a60c034344422b0133da6324bf3126245688b712432bfa55dc
92	1076	17	d404bec20b3aadf6c8811b884719b5dce43aada189c024c72e3af76abce3da0b
93	1093	15	9bd8220d7654ac4041aad7db84927a350dcf2b6746bf62a460c52b0181a1f538
94	1108	16	e096145810a68b5c5df75f6da60bf0980dc13c7dd558424f59652736d0b14c82
95	1124	16	a1db2bb24986929b227890ca8cf517f4be5015931dfad2155fb14da191f731ea
96	1140	17	9ee8a77a5a9a9377e8506d31ec2e93613b7cf3b111a3ae01db406b2b2542751f
97	1157	16	d48ba7662c9bec7a06a3b3859489392c2a1e55e0fbd7ecf61b99ebc1ea9c60ac
98	1173	16	d93d81aef32fc3cd6c5c8fba6beb6141761e3ffc9e3a0b09043d2dfb2985c0e6
99	1189	15	a4c8c6533bf15d4c8e9dc79c44fd263d39b31efc3756da92b7fdf0b6dd68e2fb
100	1204	15	c157c02561ff4298b273b96d40b932e545503906f56e8514cf1436b7562c8f66
101	1219	16	d9b9c8e80808aab9c864f14f4d4e260f13fd8029eca5f59852bcdb2322f6e7b8
102	1235	15	64f57091415ec11428de809bd753a41e5ca5c9ddcce559ba3538ecfd671215b4
103	1250	15	9af58c372831e3734fba9e3fb1970b6bb6b911cba330c305d3f1a8c41ea9374d
104	1265	15	b8da15ead350beb6e2cd4d8283680a2d95bc7e57e6770da6e09eafefac835b36
105	1280	15	c7a75de8016daaa67772b831dcf3bce25b2d941cba8abd31207b4472a5e49975
106	1295	14	34783908e1ca75bd2f08e8f4c3b7cdd1fe0e7acb1f44a0d3e05a637afad9dfbf
107	1309	16	1d65df246141ac64fa3d28620a8090a2e802fe1941f3529abbe5f3257d023db7
108	1325	17	316107f6e3bf70fff17b86d144d9ece06be7e228dd01167b273e46ef71a136b2
109	1342	16	093a28d580e589ca3522d850785aaf5afadbe065d7d89240214921d056a5fb0d
110	1358	16	50f5bdbdf8a9f448406ff3507a64a9092fc6985948bfddd4fe67c65845696701
111	1374	16	8d0e34bd0323a40a927a5ac3746859764f8571e42326fe4caae83d5695c587f4
112	1390	16	2861694722aa3b0f65144ade112d0cc317409425f34d1cf52db45471578873de
113	1406	15	b55974d8d7f1b25ffd6f57a068c6b580f773c5134a0522aeda70a332f478408e
114	1421	15	cbc1a022907cf4480e5cf4eaa60b9fcaa47a3286681cf5b42ec5e65f589fb803
115	1436	15	b94439ba350c34cd268c88877a2f3b99fe95e246dadcd6bdbc85aa6bc7c99a9c
116	1451	15	0293497b6f6bb4b9f950cc44bbec73b3d89c9e428b20eb84c4c17a1956be3409
117	1466	14	9b20f71bfae46fe9da53803fa2f223b39698c481835bf507311abef36131344b
118	1480	14	6d1be0e5fdc87faf05372dcb58389b4dad038eba4355979dfa970978cdc2ba37
119	1494	14	71b6de95c37804f2aa26c7a8a8d4ebf053139a2d1bfc9d2e0f3cfb81cb81c81c
120	1508	13	3c3519b55a3a9cf5654d05898e36e545bb3578d801a12e29d634341071c5c03a
121	1521	12	cbf99e7b4bd11cf93812088d11faea76e427c8d319fab9e869b10cceb2806619
122	1533	15	d5baf1e957fad4cfd095c7749e6a912de2ad49972940eebed1b01a0cab10fe74
