form_id	source_form_id	mnemonic	isa	width	witness_a	witness_b	witness_31	operand_access	capstone_real_name	capstone_groups
1126	T32/n/spcd/bx16/BLX_r_T1	blx	T32	16	0x4788	0x4790		1	blx	HasV5T,IsThumb,call
1162	T32/n/misc16/rev16/REV_T1	rev	T32	16	0xba31	0xba3a		2,1	rev	HasV6,IsThumb
1163	T32/n/misc16/rev16/REV16_T1	rev16	T32	16	0xba71	0xba7a		2,1	rev16	HasV6,IsThumb
1164	T32/n/misc16/rev16/REVSH_T1	revsh	T32	16	0xbaf1	0xbafa		2,1	revsh	HasV6,IsThumb
1848	T32/w/bcrtrl/bx_jaz/BXJ_T1	bxj	T32	32	0xf3c18f00	0xf3c28f00		1	bxj	IsNotMClass,IsThumb2,jump
2163	T32/w/reg/dpint_2r/REV_T2	rev	T32	32	0xfa90f186	0xfa90f287		2,1	rev	IsThumb2
2164	T32/w/reg/dpint_2r/REV16_T2	rev16	T32	32	0xfa90f196	0xfa90f297		2,1	rev16	IsThumb2
2165	T32/w/reg/dpint_2r/RBIT_T1	rbit	T32	32	0xfa90f1a6	0xfa90f2a7		2,1	rbit	IsThumb2
2166	T32/w/reg/dpint_2r/REVSH_T2	revsh	T32	32	0xfa90f1b6	0xfa90f2b7		2,1	revsh	IsThumb2
2168	T32/w/reg/dpint_2r/CLZ_T1	clz	T32	32	0xfab0f186	0xfab0f287		2,1	clz	IsThumb2
2169	T32/w/reg/dpint_2r/CRC32B_T1	crc32b	T32	32	0xfac6f18b	0xfac7f28c		2,1,1	crc32b	HasCRC,HasV8,IsThumb2
2170	T32/w/reg/dpint_2r/CRC32H_T1	crc32h	T32	32	0xfac6f19b	0xfac7f29c		2,1,1	crc32h	HasCRC,HasV8,IsThumb2
2171	T32/w/reg/dpint_2r/CRC32W_T1	crc32w	T32	32	0xfac6f1ab	0xfac7f2ac		2,1,1	crc32w	HasCRC,HasV8,IsThumb2
2172	T32/w/reg/dpint_2r/CRC32CB_T1	crc32cb	T32	32	0xfad6f18b	0xfad7f28c		2,1,1	crc32cb	HasCRC,HasV8,IsThumb2
2173	T32/w/reg/dpint_2r/CRC32CH_T1	crc32ch	T32	32	0xfad6f19b	0xfad7f29c		2,1,1	crc32ch	HasCRC,HasV8,IsThumb2
2174	T32/w/reg/dpint_2r/CRC32CW_T1	crc32cw	T32	32	0xfad6f1ab	0xfad7f2ac		2,1,1	crc32cw	HasCRC,HasV8,IsThumb2
2175	T32/w/mul/mul_abd/MLA_T1	mla	T32	32	0xfb06010b	0xfb07120c		2,1,1,1	mla	IsThumb2
2176	T32/w/mul/mul_abd/MLS_T1	mls	T32	32	0xfb06011b	0xfb07121c		2,1,1,1	mls	IsThumb2
2178	T32/w/mul/mul_abd/SMLABB_T1	smlabb	T32	32	0xfb16010b	0xfb17120c		2,1,1,1	smlabb	HasDSP,IsThumb2
2179	T32/w/mul/mul_abd/SMLABT_T1	smlabt	T32	32	0xfb16011b	0xfb17121c		2,1,1,1	smlabt	HasDSP,IsThumb2
2180	T32/w/mul/mul_abd/SMLATB_T1	smlatb	T32	32	0xfb16012b	0xfb17122c		2,1,1,1	smlatb	HasDSP,IsThumb2
2181	T32/w/mul/mul_abd/SMLATT_T1	smlatt	T32	32	0xfb16013b	0xfb17123c		2,1,1,1	smlatt	HasDSP,IsThumb2
2186	T32/w/mul/mul_abd/SMLAD_T1	smlad	T32	32	0xfb26010b	0xfb27120c		2,1,1,1	smlad	HasDSP,IsThumb2
2187	T32/w/mul/mul_abd/SMLADX_T1	smladx	T32	32	0xfb26011b	0xfb27121c		2,1,1,1	smladx	HasDSP,IsThumb2
2190	T32/w/mul/mul_abd/SMLAWB_T1	smlawb	T32	32	0xfb36010b	0xfb37120c		2,1,1,1	smlawb	HasDSP,IsThumb2
2191	T32/w/mul/mul_abd/SMLAWT_T1	smlawt	T32	32	0xfb36011b	0xfb37121c		2,1,1,1	smlawt	HasDSP,IsThumb2
2194	T32/w/mul/mul_abd/SMLSD_T1	smlsd	T32	32	0xfb46010b	0xfb47120c		2,1,1,1	smlsd	HasDSP,IsThumb2
2195	T32/w/mul/mul_abd/SMLSDX_T1	smlsdx	T32	32	0xfb46011b	0xfb47121c		2,1,1,1	smlsdx	HasDSP,IsThumb2
2198	T32/w/mul/mul_abd/SMMLA_T1	smmla	T32	32	0xfb56010b	0xfb57120c		2,1,1,1	smmla	HasDSP,IsThumb2
2199	T32/w/mul/mul_abd/SMMLAR_T1	smmlar	T32	32	0xfb56011b	0xfb57121c		2,1,1,1	smmlar	HasDSP,IsThumb2
2202	T32/w/mul/mul_abd/SMMLS_T1	smmls	T32	32	0xfb66010b	0xfb67120c		2,1,1,1	smmls	HasDSP,IsThumb2
2203	T32/w/mul/mul_abd/SMMLSR_T1	smmlsr	T32	32	0xfb66011b	0xfb67121c		2,1,1,1	smmlsr	HasDSP,IsThumb2
2204	T32/w/mul/mul_abd/USADA8_T1	usada8	T32	32	0xfb76010b	0xfb77120c		2,1,1,1	usada8	HasDSP,IsThumb2
2206	T32/w/lmul_div/lmul/SMULL_T1	smull	T32	32	0xfb8b1600	0xfb8c2701		2,2,1,1	smull	IsThumb2
2207	T32/w/lmul_div/lmul/UMULL_T1	umull	T32	32	0xfbab1600	0xfbac2701		2,2,1,1	umull	IsThumb2
2208	T32/w/lmul_div/lmul/SMLAL_T1	smlal	T32	32	0xfbcb1600	0xfbcc2701		3,3,1,1	smlal	IsThumb2
2209	T32/w/lmul_div/lmul/SMLALBB_T1	smlalbb	T32	32	0xfbcb1680	0xfbcc2781		3,3,1,1	smlalbb	HasDSP,IsThumb2
2210	T32/w/lmul_div/lmul/SMLALBT_T1	smlalbt	T32	32	0xfbcb1690	0xfbcc2791		3,3,1,1	smlalbt	HasDSP,IsThumb2
2211	T32/w/lmul_div/lmul/SMLALTB_T1	smlaltb	T32	32	0xfbcb16a0	0xfbcc27a1		3,3,1,1	smlaltb	HasDSP,IsThumb2
2212	T32/w/lmul_div/lmul/SMLALTT_T1	smlaltt	T32	32	0xfbcb16b0	0xfbcc27b1		3,3,1,1	smlaltt	HasDSP,IsThumb2
2213	T32/w/lmul_div/lmul/SMLALD_T1	smlald	T32	32	0xfbcb16c0	0xfbcc27c1		3,3,1,1	smlald	HasDSP,IsThumb2
2214	T32/w/lmul_div/lmul/SMLALDX_T1	smlaldx	T32	32	0xfbcb16d0	0xfbcc27d1		3,3,1,1	smlaldx	HasDSP,IsThumb2
2215	T32/w/lmul_div/lmul/SMLSLD_T1	smlsld	T32	32	0xfbdb16c0	0xfbdc27c1		3,3,1,1	smlsld	HasDSP,IsThumb2
2216	T32/w/lmul_div/lmul/SMLSLDX_T1	smlsldx	T32	32	0xfbdb16d0	0xfbdc27d1		3,3,1,1	smlsldx	HasDSP,IsThumb2
2217	T32/w/lmul_div/lmul/UMLAL_T1	umlal	T32	32	0xfbeb1600	0xfbec2701		3,3,1,1	umlal	IsThumb2
2218	T32/w/lmul_div/lmul/UMAAL_T1	umaal	T32	32	0xfbeb1660	0xfbec2761		3,3,1,1	umaal	HasDSP,IsThumb2
4457	A64/control/systeminstrswithreg/WFET_only_systeminstrswithreg	wfet	A64	32	0xd5031001	0xd5031002	0xd503101f	1	wfet	HasWFxT
4458	A64/control/systeminstrswithreg/WFIT_only_systeminstrswithreg	wfit	A64	32	0xd5031021	0xd5031022	0xd503103f	1	wfit	HasWFxT
4509	A64/control/branch_reg/BR_64_branch_reg	br	A64	32	0xd61f0020	0xd61f0040	0xd61f03e0	1	br	jump
4510	A64/control/branch_reg/BRAAZ_64_branch_reg	braaz	A64	32	0xd61f083f	0xd61f085f	0xd61f0bff	1	braaz	HasPAuth,jump
4511	A64/control/branch_reg/BRABZ_64_branch_reg	brabz	A64	32	0xd61f0c3f	0xd61f0c5f	0xd61f0fff	1	brabz	HasPAuth,jump
4512	A64/control/branch_reg/BLR_64_branch_reg	blr	A64	32	0xd63f0020	0xd63f0040	0xd63f03e0	1	blr	call
4513	A64/control/branch_reg/BLRAAZ_64_branch_reg	blraaz	A64	32	0xd63f083f	0xd63f085f	0xd63f0bff	1	blraaz	HasPAuth,call
4514	A64/control/branch_reg/BLRABZ_64_branch_reg	blrabz	A64	32	0xd63f0c3f	0xd63f0c5f	0xd63f0fff	1	blrabz	HasPAuth,call
4525	A64/control/branch_reg/BRAA_64P_branch_reg	braa	A64	32	0xd71f0826	0xd71f0847	0xd71f0bff	1,1	braa	HasPAuth,jump
4526	A64/control/branch_reg/BRAB_64P_branch_reg	brab	A64	32	0xd71f0c26	0xd71f0c47	0xd71f0fff	1,1	brab	HasPAuth,jump
4527	A64/control/branch_reg/BLRAA_64P_branch_reg	blraa	A64	32	0xd73f0826	0xd73f0847	0xd73f0bff	1,1	blraa	HasPAuth,call
4528	A64/control/branch_reg/BLRAB_64P_branch_reg	blrab	A64	32	0xd73f0c26	0xd73f0c47	0xd73f0fff	1,1	blrab	HasPAuth,call
5576	A64/dpreg/dp_2src/UDIV_32_dp_2src	udiv	A64	32	0x1acb08c1	0x1acc08e2	0x1adf0bff	2,1,1	udiv	
5577	A64/dpreg/dp_2src/SDIV_32_dp_2src	sdiv	A64	32	0x1acb0cc1	0x1acc0ce2	0x1adf0fff	2,1,1	sdiv	
5582	A64/dpreg/dp_2src/CRC32B_32C_dp_2src	crc32b	A64	32	0x1acb40c1	0x1acc40e2	0x1adf43ff	2,1,1	crc32b	HasCRC
5583	A64/dpreg/dp_2src/CRC32H_32C_dp_2src	crc32h	A64	32	0x1acb44c1	0x1acc44e2	0x1adf47ff	2,1,1	crc32h	HasCRC
5584	A64/dpreg/dp_2src/CRC32W_32C_dp_2src	crc32w	A64	32	0x1acb48c1	0x1acc48e2	0x1adf4bff	2,1,1	crc32w	HasCRC
5585	A64/dpreg/dp_2src/CRC32CB_32C_dp_2src	crc32cb	A64	32	0x1acb50c1	0x1acc50e2	0x1adf53ff	2,1,1	crc32cb	HasCRC
5586	A64/dpreg/dp_2src/CRC32CH_32C_dp_2src	crc32ch	A64	32	0x1acb54c1	0x1acc54e2	0x1adf57ff	2,1,1	crc32ch	HasCRC
5587	A64/dpreg/dp_2src/CRC32CW_32C_dp_2src	crc32cw	A64	32	0x1acb58c1	0x1acc58e2	0x1adf5bff	2,1,1	crc32cw	HasCRC
5588	A64/dpreg/dp_2src/SMAX_32_dp_2src	smax	A64	32	0x1acb60c1	0x1acc60e2	0x1adf63ff	2,1,1	smax	HasCSSC
5589	A64/dpreg/dp_2src/UMAX_32_dp_2src	umax	A64	32	0x1acb64c1	0x1acc64e2	0x1adf67ff	2,1,1	umax	HasCSSC
5590	A64/dpreg/dp_2src/SMIN_32_dp_2src	smin	A64	32	0x1acb68c1	0x1acc68e2	0x1adf6bff	2,1,1	smin	HasCSSC
5591	A64/dpreg/dp_2src/UMIN_32_dp_2src	umin	A64	32	0x1acb6cc1	0x1acc6ce2	0x1adf6fff	2,1,1	umin	HasCSSC
5592	A64/dpreg/dp_2src/SUBP_64S_dp_2src	subp	A64	32	0x9acb00c1	0x9acc00e2	0x9adf03ff	2,1,1	subp	HasMTE
5593	A64/dpreg/dp_2src/UDIV_64_dp_2src	udiv	A64	32	0x9acb08c1	0x9acc08e2	0x9adf0bff	2,1,1	udiv	
5594	A64/dpreg/dp_2src/SDIV_64_dp_2src	sdiv	A64	32	0x9acb0cc1	0x9acc0ce2	0x9adf0fff	2,1,1	sdiv	
5596	A64/dpreg/dp_2src/GMI_64G_dp_2src	gmi	A64	32	0x9acb14c1	0x9acc14e2	0x9adf17ff	2,1,1	gmi	HasMTE
5601	A64/dpreg/dp_2src/PACGA_64P_dp_2src	pacga	A64	32	0x9acb30c1	0x9acc30e2	0x9adf33ff	2,1,1	pacga	HasPAuth
5602	A64/dpreg/dp_2src/CRC32X_64C_dp_2src	crc32x	A64	32	0x9acb4cc1	0x9acc4ce2	0x9adf4fff	2,1,1	crc32x	HasCRC
5603	A64/dpreg/dp_2src/CRC32CX_64C_dp_2src	crc32cx	A64	32	0x9acb5cc1	0x9acc5ce2	0x9adf5fff	2,1,1	crc32cx	HasCRC
5604	A64/dpreg/dp_2src/SMAX_64_dp_2src	smax	A64	32	0x9acb60c1	0x9acc60e2	0x9adf63ff	2,1,1	smax	HasCSSC
5605	A64/dpreg/dp_2src/UMAX_64_dp_2src	umax	A64	32	0x9acb64c1	0x9acc64e2	0x9adf67ff	2,1,1	umax	HasCSSC
5606	A64/dpreg/dp_2src/SMIN_64_dp_2src	smin	A64	32	0x9acb68c1	0x9acc68e2	0x9adf6bff	2,1,1	smin	HasCSSC
5607	A64/dpreg/dp_2src/UMIN_64_dp_2src	umin	A64	32	0x9acb6cc1	0x9acc6ce2	0x9adf6fff	2,1,1	umin	HasCSSC
5608	A64/dpreg/dp_2src/SUBPS_64S_dp_2src	subps	A64	32	0xbacb00c1	0xbacc00e2	0xbadf03ff	2,1,1	subps	HasMTE
5609	A64/dpreg/dp_1src/RBIT_32_dp_1src	rbit	A64	32	0x5ac000c1	0x5ac000e2	0x5ac003ff	2,1	rbit	
5610	A64/dpreg/dp_1src/REV16_32_dp_1src	rev16	A64	32	0x5ac004c1	0x5ac004e2	0x5ac007ff	2,1	rev16	
5611	A64/dpreg/dp_1src/REV_32_dp_1src	rev	A64	32	0x5ac008c1	0x5ac008e2	0x5ac00bff	2,1	rev	
5612	A64/dpreg/dp_1src/CLZ_32_dp_1src	clz	A64	32	0x5ac010c1	0x5ac010e2	0x5ac013ff	2,1	clz	
5613	A64/dpreg/dp_1src/CLS_32_dp_1src	cls	A64	32	0x5ac014c1	0x5ac014e2	0x5ac017ff	2,1	cls	
5614	A64/dpreg/dp_1src/CTZ_32_dp_1src	ctz	A64	32	0x5ac018c1	0x5ac018e2	0x5ac01bff	2,1	ctz	HasCSSC
5615	A64/dpreg/dp_1src/CNT_32_dp_1src	cnt	A64	32	0x5ac01cc1	0x5ac01ce2	0x5ac01fff	2,1	cnt	HasCSSC
5616	A64/dpreg/dp_1src/ABS_32_dp_1src	abs	A64	32	0x5ac020c1	0x5ac020e2	0x5ac023ff	2,1	abs	HasCSSC
