iform_id	iform	iclass	iclass_id
1	AAA	AAA	1
2	AADD_MEM32_GPR32	AADD	1198
3	AADD_MEM64_GPR64	AADD	1198
4	AADD_MEMi32_GPR32i32_APX	AADD	1198
5	AADD_MEMi64_GPR64i64_APX	AADD	1198
6	AAD_IMMb	AAD	2
7	AAM_IMMb	AAM	3
8	AAND_MEM32_GPR32	AAND	1199
9	AAND_MEM64_GPR64	AAND	1199
10	AAND_MEMi32_GPR32i32_APX	AAND	1199
11	AAND_MEMi64_GPR64i64_APX	AAND	1199
12	AAS	AAS	4
13	ADCX_GPR32d_GPR32d	ADCX	1135
14	ADCX_GPR32d_MEMd	ADCX	1135
15	ADCX_GPR32i32_GPR32i32_APX	ADCX	1135
16	ADCX_GPR32i32_GPR32i32_GPR32i32_APX_N3	ADCX	1135
17	ADCX_GPR32i32_GPR32i32_MEMi32_APX_N3	ADCX	1135
18	ADCX_GPR32i32_MEMi32_APX	ADCX	1135
19	ADCX_GPR64i64_GPR64i64_APX	ADCX	1135
20	ADCX_GPR64i64_GPR64i64_GPR64i64_APX_N3	ADCX	1135
21	ADCX_GPR64i64_GPR64i64_MEMi64_APX_N3	ADCX	1135
22	ADCX_GPR64i64_MEMi64_APX	ADCX	1135
23	ADCX_GPR64q_GPR64q	ADCX	1135
24	ADCX_GPR64q_MEMq	ADCX	1135
25	ADC_AL_IMMb	ADC	5
26	ADC_GPR8_GPR8_10	ADC	5
27	ADC_GPR8_GPR8_12	ADC	5
28	ADC_GPR8_IMMb_80r2	ADC	5
29	ADC_GPR8_IMMb_82r2	ADC	5
30	ADC_GPR8_MEMb	ADC	5
31	ADC_GPR8i8_GPR8i8_APX	ADC	5
32	ADC_GPR8i8_GPR8i8_GPR8i8_APX_N3	ADC	5
33	ADC_GPR8i8_GPR8i8_IMM8_APX_N3	ADC	5
34	ADC_GPR8i8_GPR8i8_MEMi8_APX_N3	ADC	5
35	ADC_GPR8i8_IMM8_APX	ADC	5
36	ADC_GPR8i8_MEMi8_APX	ADC	5
37	ADC_GPR8i8_MEMi8_GPR8i8_APX_N3	ADC	5
38	ADC_GPR8i8_MEMi8_IMM8_APX_N3	ADC	5
39	ADC_GPRv_GPRv_11	ADC	5
40	ADC_GPRv_GPRv_13	ADC	5
41	ADC_GPRv_GPRv_APX	ADC	5
42	ADC_GPRv_GPRv_GPRv_APX_N3	ADC	5
43	ADC_GPRv_GPRv_IMM8_APX_N3	ADC	5
44	ADC_GPRv_GPRv_IMMz_APX_N3	ADC	5
45	ADC_GPRv_GPRv_MEMv_APX_N3	ADC	5
46	ADC_GPRv_IMM8_APX	ADC	5
47	ADC_GPRv_IMMb	ADC	5
48	ADC_GPRv_IMMz	ADC	5
49	ADC_GPRv_IMMz_APX	ADC	5
50	ADC_GPRv_MEMv	ADC	5
51	ADC_GPRv_MEMv_APX	ADC	5
52	ADC_GPRv_MEMv_GPRv_APX_N3	ADC	5
53	ADC_GPRv_MEMv_IMM8_APX_N3	ADC	5
54	ADC_GPRv_MEMv_IMMz_APX_N3	ADC	5
55	ADC_LOCK_MEMb_GPR8	ADC_LOCK	1200
56	ADC_LOCK_MEMb_IMMb_80r2	ADC_LOCK	1200
57	ADC_LOCK_MEMb_IMMb_82r2	ADC_LOCK	1200
58	ADC_LOCK_MEMv_GPRv	ADC_LOCK	1200
59	ADC_LOCK_MEMv_IMMb	ADC_LOCK	1200
60	ADC_LOCK_MEMv_IMMz	ADC_LOCK	1200
61	ADC_MEMb_GPR8	ADC	5
62	ADC_MEMb_IMMb_80r2	ADC	5
63	ADC_MEMb_IMMb_82r2	ADC	5
64	ADC_MEMi8_GPR8i8_APX	ADC	5
65	ADC_MEMi8_IMM8_APX	ADC	5
66	ADC_MEMv_GPRv	ADC	5
67	ADC_MEMv_GPRv_APX	ADC	5
68	ADC_MEMv_IMM8_APX	ADC	5
69	ADC_MEMv_IMMb	ADC	5
70	ADC_MEMv_IMMz	ADC	5
71	ADC_MEMv_IMMz_APX	ADC	5
72	ADC_OrAX_IMMz	ADC	5
73	ADDPD_XMMpd_MEMpd	ADDPD	351
74	ADDPD_XMMpd_XMMpd	ADDPD	351
75	ADDPS_XMMps_MEMps	ADDPS	293
76	ADDPS_XMMps_XMMps	ADDPS	293
77	ADDSD_XMMsd_MEMsd	ADDSD	352
78	ADDSD_XMMsd_XMMsd	ADDSD	352
79	ADDSS_XMMss_MEMss	ADDSS	294
80	ADDSS_XMMss_XMMss	ADDSS	294
81	ADDSUBPD_XMMpd_MEMpd	ADDSUBPD	435
82	ADDSUBPD_XMMpd_XMMpd	ADDSUBPD	435
83	ADDSUBPS_XMMps_MEMps	ADDSUBPS	436
84	ADDSUBPS_XMMps_XMMps	ADDSUBPS	436
85	ADD_AL_IMMb	ADD	6
86	ADD_GPR8_GPR8_00	ADD	6
87	ADD_GPR8_GPR8_02	ADD	6
88	ADD_GPR8_IMMb_80r0	ADD	6
89	ADD_GPR8_IMMb_82r0	ADD	6
90	ADD_GPR8_MEMb	ADD	6
91	ADD_GPR8i8_GPR8i8_APX	ADD	6
92	ADD_GPR8i8_GPR8i8_APX_N3	ADD	6
93	ADD_GPR8i8_GPR8i8_GPR8i8_APX_N3	ADD	6
94	ADD_GPR8i8_GPR8i8_IMM8_APX_N3	ADD	6
95	ADD_GPR8i8_GPR8i8_MEMi8_APX_N3	ADD	6
96	ADD_GPR8i8_IMM8_APX	ADD	6
97	ADD_GPR8i8_IMM8_APX_N3	ADD	6
98	ADD_GPR8i8_MEMi8_APX	ADD	6
99	ADD_GPR8i8_MEMi8_APX_N3	ADD	6
100	ADD_GPR8i8_MEMi8_GPR8i8_APX_N3	ADD	6
101	ADD_GPR8i8_MEMi8_IMM8_APX_N3	ADD	6
102	ADD_GPRv_GPRv_01	ADD	6
103	ADD_GPRv_GPRv_03	ADD	6
104	ADD_GPRv_GPRv_APX	ADD	6
105	ADD_GPRv_GPRv_APX_N3	ADD	6
106	ADD_GPRv_GPRv_GPRv_APX_N3	ADD	6
107	ADD_GPRv_GPRv_IMM8_APX_N3	ADD	6
108	ADD_GPRv_GPRv_IMMz_APX_N3	ADD	6
109	ADD_GPRv_GPRv_MEMv_APX_N3	ADD	6
110	ADD_GPRv_IMM8_APX	ADD	6
111	ADD_GPRv_IMM8_APX_N3	ADD	6
112	ADD_GPRv_IMMb	ADD	6
113	ADD_GPRv_IMMz	ADD	6
114	ADD_GPRv_IMMz_APX	ADD	6
115	ADD_GPRv_IMMz_APX_N3	ADD	6
116	ADD_GPRv_MEMv	ADD	6
117	ADD_GPRv_MEMv_APX	ADD	6
118	ADD_GPRv_MEMv_APX_N3	ADD	6
119	ADD_GPRv_MEMv_GPRv_APX_N3	ADD	6
120	ADD_GPRv_MEMv_IMM8_APX_N3	ADD	6
121	ADD_GPRv_MEMv_IMMz_APX_N3	ADD	6
122	ADD_LOCK_MEMb_GPR8	ADD_LOCK	1201
123	ADD_LOCK_MEMb_IMMb_80r0	ADD_LOCK	1201
124	ADD_LOCK_MEMb_IMMb_82r0	ADD_LOCK	1201
125	ADD_LOCK_MEMv_GPRv	ADD_LOCK	1201
126	ADD_LOCK_MEMv_IMMb	ADD_LOCK	1201
127	ADD_LOCK_MEMv_IMMz	ADD_LOCK	1201
128	ADD_MEMb_GPR8	ADD	6
129	ADD_MEMb_IMMb_80r0	ADD	6
130	ADD_MEMb_IMMb_82r0	ADD	6
131	ADD_MEMi8_GPR8i8_APX	ADD	6
132	ADD_MEMi8_GPR8i8_APX_N3	ADD	6
133	ADD_MEMi8_IMM8_APX	ADD	6
134	ADD_MEMi8_IMM8_APX_N3	ADD	6
135	ADD_MEMv_GPRv	ADD	6
136	ADD_MEMv_GPRv_APX	ADD	6
137	ADD_MEMv_GPRv_APX_N3	ADD	6
138	ADD_MEMv_IMM8_APX	ADD	6
139	ADD_MEMv_IMM8_APX_N3	ADD	6
140	ADD_MEMv_IMMb	ADD	6
141	ADD_MEMv_IMMz	ADD	6
142	ADD_MEMv_IMMz_APX	ADD	6
143	ADD_MEMv_IMMz_APX_N3	ADD	6
144	ADD_OrAX_IMMz	ADD	6
145	ADOX_GPR32d_GPR32d	ADOX	1136
146	ADOX_GPR32d_MEMd	ADOX	1136
147	ADOX_GPR32i32_GPR32i32_APX	ADOX	1136
148	ADOX_GPR32i32_GPR32i32_GPR32i32_APX_N3	ADOX	1136
149	ADOX_GPR32i32_GPR32i32_MEMi32_APX_N3	ADOX	1136
150	ADOX_GPR32i32_MEMi32_APX	ADOX	1136
151	ADOX_GPR64i64_GPR64i64_APX	ADOX	1136
152	ADOX_GPR64i64_GPR64i64_GPR64i64_APX_N3	ADOX	1136
153	ADOX_GPR64i64_GPR64i64_MEMi64_APX_N3	ADOX	1136
154	ADOX_GPR64i64_MEMi64_APX	ADOX	1136
155	ADOX_GPR64q_GPR64q	ADOX	1136
156	ADOX_GPR64q_MEMq	ADOX	1136
157	AESDEC128KL_XMMu8_MEMu8	AESDEC128KL	1202
158	AESDEC256KL_XMMu8_MEMu8	AESDEC256KL	1203
159	AESDECLAST_XMMdq_MEMdq	AESDECLAST	673
160	AESDECLAST_XMMdq_XMMdq	AESDECLAST	673
161	AESDECWIDE128KL_MEMu8	AESDECWIDE128KL	1204
162	AESDECWIDE256KL_MEMu8	AESDECWIDE256KL	1205
163	AESDEC_XMMdq_MEMdq	AESDEC	672
164	AESDEC_XMMdq_XMMdq	AESDEC	672
165	AESENC128KL_XMMu8_MEMu8	AESENC128KL	1206
166	AESENC256KL_XMMu8_MEMu8	AESENC256KL	1207
167	AESENCLAST_XMMdq_MEMdq	AESENCLAST	671
168	AESENCLAST_XMMdq_XMMdq	AESENCLAST	671
169	AESENCWIDE128KL_MEMu8	AESENCWIDE128KL	1208
170	AESENCWIDE256KL_MEMu8	AESENCWIDE256KL	1209
171	AESENC_XMMdq_MEMdq	AESENC	670
172	AESENC_XMMdq_XMMdq	AESENC	670
173	AESIMC_XMMdq_MEMdq	AESIMC	674
174	AESIMC_XMMdq_XMMdq	AESIMC	674
175	AESKEYGENASSIST_XMMdq_MEMdq_IMMb	AESKEYGENASSIST	675
176	AESKEYGENASSIST_XMMdq_XMMdq_IMMb	AESKEYGENASSIST	675
177	ANDNPD_XMMxuq_MEMxuq	ANDNPD	348
178	ANDNPD_XMMxuq_XMMxuq	ANDNPD	348
179	ANDNPS_XMMxud_MEMxud	ANDNPS	290
180	ANDNPS_XMMxud_XMMxud	ANDNPS	290
181	ANDN_GPR32d_GPR32d_GPR32d	ANDN	684
182	ANDN_GPR32d_GPR32d_MEMd	ANDN	684
183	ANDN_GPR32i32_GPR32i32_GPR32i32_APX	ANDN	684
184	ANDN_GPR32i32_GPR32i32_GPR32i32_APX_N3	ANDN	684
185	ANDN_GPR32i32_GPR32i32_MEMi32_APX	ANDN	684
186	ANDN_GPR32i32_GPR32i32_MEMi32_APX_N3	ANDN	684
187	ANDN_GPR64i64_GPR64i64_GPR64i64_APX	ANDN	684
188	ANDN_GPR64i64_GPR64i64_GPR64i64_APX_N3	ANDN	684
189	ANDN_GPR64i64_GPR64i64_MEMi64_APX	ANDN	684
190	ANDN_GPR64i64_GPR64i64_MEMi64_APX_N3	ANDN	684
191	ANDN_GPR64q_GPR64q_GPR64q	ANDN	684
192	ANDN_GPR64q_GPR64q_MEMq	ANDN	684
193	ANDPD_XMMxuq_MEMxuq	ANDPD	347
194	ANDPD_XMMxuq_XMMxuq	ANDPD	347
195	ANDPS_XMMxud_MEMxud	ANDPS	289
196	ANDPS_XMMxud_XMMxud	ANDPS	289
197	AND_AL_IMMb	AND	7
198	AND_GPR8_GPR8_20	AND	7
199	AND_GPR8_GPR8_22	AND	7
200	AND_GPR8_IMMb_80r4	AND	7
201	AND_GPR8_IMMb_82r4	AND	7
202	AND_GPR8_MEMb	AND	7
203	AND_GPR8i8_GPR8i8_APX	AND	7
204	AND_GPR8i8_GPR8i8_APX_N3	AND	7
205	AND_GPR8i8_GPR8i8_GPR8i8_APX_N3	AND	7
206	AND_GPR8i8_GPR8i8_IMM8_APX_N3	AND	7
207	AND_GPR8i8_GPR8i8_MEMi8_APX_N3	AND	7
208	AND_GPR8i8_IMM8_APX	AND	7
