descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
72	3231	194	1	none	none	0x0000000000000000	SUB	I86
73	3221	1446	1	none	none	0x0000000000000000	SUB_LOCK	I86
74	3183	194	1	none	none	0x0000000000000000	SUB	I86
75	3186	194	1	none	none	0x0000000000000000	SUB	I86
76	3199	194	1	none	none	0x0000000000000000	SUB	I86
77	3212	194	1	none	none	0x0000000000000000	SUB	I86
78	3181	194	1	none	none	0x0000000000000000	SUB	I86
79	3240	194	1	none	none	0x0000000000000000	SUB	I86
80	1090	52	1	none	none	0x0000000000000000	DAS	I86
81	8926	210	1	none	none	0x0000000000000000	XOR	I86
82	8968	210	1	none	none	0x0000000000000000	XOR	I86
83	8962	2026	1	none	none	0x0000000000000000	XOR_LOCK	I86
84	8942	210	1	none	none	0x0000000000000000	XOR	I86
85	8975	210	1	none	none	0x0000000000000000	XOR	I86
86	8965	2026	1	none	none	0x0000000000000000	XOR_LOCK	I86
87	8927	210	1	none	none	0x0000000000000000	XOR	I86
88	8930	210	1	none	none	0x0000000000000000	XOR	I86
89	8943	210	1	none	none	0x0000000000000000	XOR	I86
90	8956	210	1	none	none	0x0000000000000000	XOR	I86
91	8925	210	1	none	none	0x0000000000000000	XOR	I86
92	8984	210	1	none	none	0x0000000000000000	XOR	I86
93	1	1	1	none	none	0x0000000000000000	AAA	I86
94	872	41	1	none	none	0x0000000000000000	CMP	I86
95	882	41	1	none	none	0x0000000000000000	CMP	I86
96	877	41	1	none	none	0x0000000000000000	CMP	I86
97	885	41	1	none	none	0x0000000000000000	CMP	I86
98	873	41	1	none	none	0x0000000000000000	CMP	I86
99	876	41	1	none	none	0x0000000000000000	CMP	I86
100	878	41	1	none	none	0x0000000000000000	CMP	I86
101	881	41	1	none	none	0x0000000000000000	CMP	I86
102	871	41	1	none	none	0x0000000000000000	CMP	I86
103	888	41	1	none	none	0x0000000000000000	CMP	I86
104	12	4	1	none	none	0x0000000000000000	AAS	I86
105	1380	64	1	none	none	0x0000000000000000	INC	I86
106	1096	53	1	none	none	0x0000000000000000	DEC	I86
107	2480	142	1	none	none	0x0000000000000000	PUSH	I86
108	2480	142	1	none	none	0x0000000000000000	PUSH	I86
109	2475	1382	91	22	0	0x0000000000400000	PUSHP	APX_F
