form_id	source_form_id	mnemonic	isa	width	authority	witnesses	operand_semantics	capstone_real_name	capstone_groups
1102	T32/n/sftdpi/addsub16_2l_imm/ADD_i_T1	add	T32	16	capstone	0x1c71,0x1c7a,0x1c67,0x1c43,0x1c31,0x1cb1,0x1cf1,0x1d31,0x1db1,0x1df1	"[{""access"":2,""addend"":0,""bit_start"":0,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":3,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":6,""bit_width"":3,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	add	IsThumb
1103	T32/n/sftdpi/addsub16_2l_imm/SUB_i_T1	sub	T32	16	capstone	0x1e71,0x1e7a,0x1e67,0x1e43,0x1e31,0x1eb1,0x1ef1,0x1f31,0x1fb1,0x1ff1	"[{""access"":2,""addend"":0,""bit_start"":0,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":3,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":6,""bit_width"":3,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	sub	IsThumb
1105	T32/n/sftdpi/addsub16_1l_imm/MOV_i_T1	mov	T32	16	capstone	0x2101,0x2201,0x2701,0x2301,0x2100,0x2102,0x2103,0x217f,0x2180,0x21fe,0x21ff	"[{""access"":2,""addend"":0,""bit_start"":8,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	mov	IsThumb
1106	T32/n/sftdpi/addsub16_1l_imm/CMP_i_T1	cmp	T32	16	capstone	0x2901,0x2a01,0x2f01,0x2b01,0x2900,0x2902,0x2903,0x297f,0x2980,0x29fe,0x29ff	"[{""access"":1,""addend"":0,""bit_start"":8,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	cmp	IsThumb
1107	T32/n/sftdpi/addsub16_1l_imm/ADD_i_T2	add	T32	16	capstone	0x3101,0x3201,0x3701,0x3301,0x3100,0x3102,0x3103,0x317f,0x3180,0x31fe,0x31ff	"[{""access"":3,""addend"":0,""bit_start"":8,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	add	IsThumb
1108	T32/n/sftdpi/addsub16_1l_imm/SUB_i_T2	sub	T32	16	capstone	0x3901,0x3a01,0x3f01,0x3b01,0x3900,0x3902,0x3903,0x397f,0x3980,0x39fe,0x39ff	"[{""access"":3,""addend"":0,""bit_start"":8,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	sub	IsThumb
1157	T32/n/misc16/setpan16/SETPAN_T1	setpan	T32	16	aarchmrs	0xb618,0xb610	"[{""access"":1,""addend"":0,""bit_start"":3,""bit_width"":1,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"		
1161	T32/n/misc16/hlt16/HLT_T1	hlt	T32	16	capstone	0xba81,0xba80,0xba82,0xba83,0xba9f,0xbaa0,0xbabe,0xbabf	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":6,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	hlt	HasV8,IsThumb
1165	T32/n/misc16/bkpt16/BKPT_T1	bkpt	T32	16	capstone	0xbe01,0xbe00,0xbe02,0xbe03,0xbe7f,0xbe80,0xbefe,0xbeff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	bkpt	IsThumb
1173	T32/n/misc16/cbznz16/CBNZ_T1	cbnz	T32	16	aarchmrs+capstone	0xb901,0xb900,0xbbf9	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":3}]"	cbnz	HasV8MBaseline,IsThumb,branch_relative,jump
1174	T32/n/misc16/cbznz16/CBZ_T1	cbz	T32	16	aarchmrs+capstone	0xb101,0xb100,0xb3f9	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":3,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":3}]"	cbz	HasV8MBaseline,IsThumb,branch_relative,jump
1179	T32/n/brc/except16/UDF_T1	udf	T32	16	capstone	0xde01,0xde00,0xde02,0xde03,0xde7f,0xde80,0xdeff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	udf	IsThumb
1180	T32/n/brc/except16/SVC_T1	svc	T32	16	capstone	0xdf01,0xdf00,0xdf02,0xdf03,0xdf7f,0xdf80,0xdffe,0xdfff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":8,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	svc	IsThumb,call,int
1181	T32/n/brc/bcond16/B_T1	b	T32	16	aarchmrs+capstone	0xd000,0xd0ff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":4}]"	b	IsThumb,branch_relative,jump
1182	T32/b16/B_T2	b	T32	16	aarchmrs+capstone	0xe000,0xe7ff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":5}]"	b	IsThumb,branch_relative,jump
1835	T32/w/bcrtrl/hints/DBG_T1	dbg	T32	32	capstone	0xf3af80f1,0xf3af80f0,0xf3af80f2,0xf3af80f3,0xf3af80f7,0xf3af80f8,0xf3af80fe,0xf3af80ff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":4,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	dbg	IsThumb2
1836	T32/w/bcrtrl/cps/CPS_T2_AS	cps	T32	32	capstone	0xf3af8101,0xf3af8100,0xf3af8102,0xf3af8103,0xf3af810f,0xf3af8110,0xf3af811e,0xf3af811f	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":5,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	cps	IsNotMClass,IsThumb2
1857	T32/w/bcrtrl/except/SMC_T1_AS	smc	T32	32	capstone	0xf7f18000,0xf7f08000,0xf7f28000,0xf7f38000,0xf7f78000,0xf7f88000,0xf7fe8000,0xf7ff8000	"[{""access"":1,""addend"":0,""bit_start"":16,""bit_width"":4,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0}]"	smc	HasTrustZone,IsThumb2,call,privilege
1859	T32/w/bcrtrl/bcond/B_T3	b	T32	32	aarchmrs+capstone	0xf0008000,0xf43fafff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":6}]"	b	IsThumb2,branch_relative,jump
1860	T32/w/bcrtrl/b/B_T4	b	T32	32	aarchmrs+capstone	0xf0009000,0xf7ffbfff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":7}]"	b	HasV8MBaseline,IsThumb,branch_relative,jump
1861	T32/w/bcrtrl/blx/BL_i_T2	blx	T32	32	aarchmrs+capstone	0xf000c000,0xf7ffefff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":9}]"	blx	HasV5T,IsNotMClass,IsThumb,branch_relative,call
1862	T32/w/bcrtrl/bl/BL_i_T1	bl	T32	32	aarchmrs+capstone	0xf000d000,0xf7ffffff	"[{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":0,""kind"":3,""multiplier"":0,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":8}]"	bl	IsThumb,branch_relative,call
1905	T32/w/imm/sat_bit/SSAT16_T1	ssat16	T32	32	capstone	0xf3260101,0xf3270201,0xf32c0701,0xf3200b01,0xf3260100,0xf3260102,0xf3260103,0xf3260107,0xf3260108,0xf326010e,0xf326010f	"[{""access"":2,""addend"":0,""bit_start"":8,""bit_width"":4,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":1,""bit_start"":0,""bit_width"":4,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":16,""bit_width"":4,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	ssat16	HasDSP,IsThumb2
1911	T32/w/imm/sat_bit/USAT16_T1	usat16	T32	32	capstone	0xf3a60101,0xf3a70201,0xf3ac0701,0xf3a00b01,0xf3a60100,0xf3a60102,0xf3a60103,0xf3a60107,0xf3a60108,0xf3a6010e,0xf3a6010f	"[{""access"":2,""addend"":0,""bit_start"":8,""bit_width"":4,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":0,""bit_width"":4,""kind"":2,""multiplier"":1,""reg_class"":0,""second_start"":0,""second_width"":0,""size"":1,""special31"":0,""transform"":0},{""access"":1,""addend"":0,""bit_start"":16,""bit_width"":4,""kind"":1,""multiplier"":0,""reg_class"":1,""second_start"":0,""second_width"":0,""size"":4,""special31"":0,""transform"":0}]"	usat16	HasDSP,IsThumb2
