xed_index	iclass	macro_token	name_id	formatter_mnemonic	allocation	record_count
75	BTC_LOCK	BTC_LOCK	1225	btc_lock	appended	2
76	BTR	BTR	14	btr	existing	4
77	BTR_LOCK	BTR_LOCK	1226	btr_lock	appended	2
78	BTS	BTS	15	bts	existing	4
79	BTS_LOCK	BTS_LOCK	1227	bts_lock	appended	2
80	BZHI	BZHI	689	bzhi	existing	14
81	CALL_FAR	CALL_FAR	1228	call far	appended	2
82	CALL_NEAR	CALL_NEAR	1229	call	appended	4
83	CBW	CBW	17	cbw	existing	3
84	CCMPB	CCMPB	1230	ccmpb	appended	22
85	CCMPBE	CCMPBE	1231	ccmpbe	appended	22
86	CCMPF	CCMPF	1232	ccmpf	appended	22
87	CCMPL	CCMPL	1233	ccmpl	appended	22
88	CCMPLE	CCMPLE	1234	ccmple	appended	22
89	CCMPNB	CCMPNB	1235	ccmpnb	appended	22
90	CCMPNBE	CCMPNBE	1236	ccmpnbe	appended	22
91	CCMPNL	CCMPNL	1237	ccmpnl	appended	22
92	CCMPNLE	CCMPNLE	1238	ccmpnle	appended	22
93	CCMPNO	CCMPNO	1239	ccmpno	appended	22
94	CCMPNS	CCMPNS	1240	ccmpns	appended	22
95	CCMPNZ	CCMPNZ	1241	ccmpnz	appended	22
96	CCMPO	CCMPO	1242	ccmpo	appended	22
97	CCMPS	CCMPS	1243	ccmps	appended	22
98	CCMPT	CCMPT	1244	ccmpt	appended	22
99	CCMPZ	CCMPZ	1245	ccmpz	appended	22
100	CDQ	CDQ	18	cdq	existing	3
101	CDQE	CDQE	19	cdqe	existing	1
102	CFCMOVB	CFCMOVB	1246	cfcmovb	appended	12
103	CFCMOVBE	CFCMOVBE	1247	cfcmovbe	appended	12
104	CFCMOVL	CFCMOVL	1248	cfcmovl	appended	12
105	CFCMOVLE	CFCMOVLE	1249	cfcmovle	appended	12
106	CFCMOVNB	CFCMOVNB	1250	cfcmovnb	appended	12
107	CFCMOVNBE	CFCMOVNBE	1251	cfcmovnbe	appended	12
108	CFCMOVNL	CFCMOVNL	1252	cfcmovnl	appended	12
109	CFCMOVNLE	CFCMOVNLE	1253	cfcmovnle	appended	12
110	CFCMOVNO	CFCMOVNO	1254	cfcmovno	appended	12
111	CFCMOVNP	CFCMOVNP	1255	cfcmovnp	appended	12
112	CFCMOVNS	CFCMOVNS	1256	cfcmovns	appended	12
113	CFCMOVNZ	CFCMOVNZ	1257	cfcmovnz	appended	12
114	CFCMOVO	CFCMOVO	1258	cfcmovo	appended	12
115	CFCMOVP	CFCMOVP	1259	cfcmovp	appended	12
116	CFCMOVS	CFCMOVS	1260	cfcmovs	appended	12
117	CFCMOVZ	CFCMOVZ	1261	cfcmovz	appended	12
118	CLAC	CLAC	1262	clac	appended	1
119	CLC	CLC	20	clc	existing	1
120	CLD	CLD	21	cld	existing	1
121	CLDEMOTE	CLDEMOTE	1263	cldemote	appended	1
122	CLFLUSH	CLFLUSH	917	clflush	existing	1
123	CLFLUSHOPT	CLFLUSHOPT	918	clflushopt	existing	1
124	CLGI	CLGI	215	clgi	existing	1
125	CLI	CLI	22	cli	existing	1
126	CLRSSBSY	CLRSSBSY	828	clrssbsy	existing	1
127	CLTS	CLTS	23	clts	existing	1
128	CLUI	CLUI	1179	clui	existing	1
129	CLWB	CLWB	919	clwb	existing	1
130	CLZERO	CLZERO	1264	clzero	appended	1
131	CMC	CMC	24	cmc	existing	1
132	CMOVB	CMOVB	27	cmovb	existing	6
133	CMOVBE	CMOVBE	28	cmovbe	existing	6
134	CMOVL	CMOVL	32	cmovl	existing	6
135	CMOVLE	CMOVLE	33	cmovle	existing	6
136	CMOVNB	CMOVNB	1265	cmovnb	appended	6
137	CMOVNBE	CMOVNBE	1266	cmovnbe	appended	6
138	CMOVNL	CMOVNL	1267	cmovnl	appended	6
139	CMOVNLE	CMOVNLE	1268	cmovnle	appended	6
140	CMOVNO	CMOVNO	35	cmovno	existing	6
141	CMOVNP	CMOVNP	36	cmovnp	existing	6
142	CMOVNS	CMOVNS	37	cmovns	existing	6
143	CMOVNZ	CMOVNZ	1269	cmovnz	appended	6
144	CMOVO	CMOVO	38	cmovo	existing	6
145	CMOVP	CMOVP	39	cmovp	existing	6
146	CMOVS	CMOVS	40	cmovs	existing	6
147	CMOVZ	CMOVZ	1270	cmovz	appended	6
148	CMP	CMP	41	cmp	existing	18
149	CMPBEXADD	CMPBEXADD	1271	cmpbexadd	appended	4
150	CMPBXADD	CMPBXADD	1272	cmpbxadd	appended	4
151	CMPLEXADD	CMPLEXADD	1273	cmplexadd	appended	4
152	CMPLXADD	CMPLXADD	1274	cmplxadd	appended	4
153	CMPNBEXADD	CMPNBEXADD	1275	cmpnbexadd	appended	4
154	CMPNBXADD	CMPNBXADD	1276	cmpnbxadd	appended	4
155	CMPNLEXADD	CMPNLEXADD	1277	cmpnlexadd	appended	4
156	CMPNLXADD	CMPNLXADD	1278	cmpnlxadd	appended	4
157	CMPNOXADD	CMPNOXADD	1279	cmpnoxadd	appended	4
158	CMPNPXADD	CMPNPXADD	1280	cmpnpxadd	appended	4
159	CMPNSXADD	CMPNSXADD	1281	cmpnsxadd	appended	4
160	CMPNZXADD	CMPNZXADD	1282	cmpnzxadd	appended	4
161	CMPOXADD	CMPOXADD	1283	cmpoxadd	appended	4
162	CMPPD	CMPPD	363	cmppd	existing	2
163	CMPPS	CMPPS	305	cmpps	existing	2
164	CMPPXADD	CMPPXADD	1284	cmppxadd	appended	4
165	CMPSB	CMPSB	42	cmpsb	existing	1
166	CMPSD	CMPSD	43	cmpsd	existing	3
167	CMPSD_XMM	CMPSD_XMM	1285	cmpsd_xmm	appended	2
168	CMPSQ	CMPSQ	44	cmpsq	existing	1
169	CMPSS	CMPSS	306	cmpss	existing	2
170	CMPSW	CMPSW	45	cmpsw	existing	3
171	CMPSXADD	CMPSXADD	1286	cmpsxadd	appended	4
172	CMPXCHG	CMPXCHG	46	cmpxchg	existing	4
173	CMPXCHG16B	CMPXCHG16B	1133	cmpxchg16b	existing	1
174	CMPXCHG16B_LOCK	CMPXCHG16B_LOCK	1287	cmpxchg16b_lock	appended	1
175	CMPXCHG8B	CMPXCHG8B	1132	cmpxchg8b	existing	2
176	CMPXCHG8B_LOCK	CMPXCHG8B_LOCK	1288	cmpxchg8b_lock	appended	2
177	CMPXCHG_LOCK	CMPXCHG_LOCK	1289	cmpxchg_lock	appended	2
178	CMPZXADD	CMPZXADD	1290	cmpzxadd	appended	4
179	COMISD	COMISD	343	comisd	existing	2
180	COMISS	COMISS	281	comiss	existing	2
181	CPUID	CPUID	47	cpuid	existing	1
182	CQO	CQO	48	cqo	existing	1
183	CRC32	CRC32	507	crc32	existing	10
184	CTESTB	CTESTB	1291	ctestb	appended	18
185	CTESTBE	CTESTBE	1292	ctestbe	appended	18
186	CTESTF	CTESTF	1293	ctestf	appended	18
187	CTESTL	CTESTL	1294	ctestl	appended	18
188	CTESTLE	CTESTLE	1295	ctestle	appended	18
189	CTESTNB	CTESTNB	1296	ctestnb	appended	18
190	CTESTNBE	CTESTNBE	1297	ctestnbe	appended	18
191	CTESTNL	CTESTNL	1298	ctestnl	appended	18
192	CTESTNLE	CTESTNLE	1299	ctestnle	appended	18
193	CTESTNO	CTESTNO	1300	ctestno	appended	18
194	CTESTNS	CTESTNS	1301	ctestns	appended	18
195	CTESTNZ	CTESTNZ	1302	ctestnz	appended	18
196	CTESTO	CTESTO	1303	ctesto	appended	18
197	CTESTS	CTESTS	1304	ctests	appended	18
198	CTESTT	CTESTT	1305	ctestt	appended	18
199	CTESTZ	CTESTZ	1306	ctestz	appended	18
200	CVTDQ2PD	CVTDQ2PD	1307	cvtdq2pd	appended	2
201	CVTDQ2PS	CVTDQ2PS	373	cvtdq2ps	existing	2
202	CVTPD2DQ	CVTPD2DQ	1308	cvtpd2dq	appended	2
203	CVTPD2PI	CVTPD2PI	1309	cvtpd2pi	appended	2
204	CVTPD2PS	CVTPD2PS	372	cvtpd2ps	existing	2
205	CVTPI2PD	CVTPI2PD	1310	cvtpi2pd	appended	2
206	CVTPI2PS	CVTPI2PS	310	cvtpi2ps	existing	2
207	CVTPS2DQ	CVTPS2DQ	374	cvtps2dq	existing	2
208	CVTPS2PD	CVTPS2PD	369	cvtps2pd	existing	2
209	CVTPS2PI	CVTPS2PI	311	cvtps2pi	existing	2
210	CVTSD2SI	CVTSD2SI	377	cvtsd2si	existing	4
211	CVTSD2SS	CVTSD2SS	371	cvtsd2ss	existing	2
212	CVTSI2SD	CVTSI2SD	376	cvtsi2sd	existing	4
213	CVTSI2SS	CVTSI2SS	313	cvtsi2ss	existing	4
214	CVTSS2SD	CVTSS2SD	370	cvtss2sd	existing	2
