descriptor_index	iform_id	iclass_id	encoding_space	map	opcode	opcode_hex	iclass	iform	isa_set	extension	category	pattern	pattern_digest	attributes	mode	easz	eosz	prefix	has_modrm	mod_required	reg_required	rm_required	partial_opcode	rexw	rex2	evex_pp	u_bit	vl	nd	nf	undocumented	cpuid_digest	operand_digest	record_digest	source_order
10	85	6	legacy	0	4	0x04	ADD	ADD_AL_IMMb	I86	BASE	BINARY	0x04 SIMM8()	3595934bad2eb5344f105ecbb0dc566e3a177930f7385cd7e42bc1f1c39edeeb	BYTEOP	16,32,64	16,32,64	8		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	763db3e9314ac407824f7b282d89818d9d14e2720a2ec0965ac2c8fe3671699d	03211dc0d1bb29439f67b7ff6b584b945975c5d80bb0871114c2e328ca96eec1	190
11	144	6	legacy	0	5	0x05	ADD	ADD_OrAX_IMMz	I86	BASE	BINARY	0x05 SIMMz()	ded5f5cb01587f7ca40ac9de9e8893740d6635c0206b97c4748ab67f025e4d75		16,32,64	16,32,64	16,32,64		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	cf0a489c48d517c7523359fd244afc4bc4936507ab73f894f6e3021e7f6fbd54	7b90e4bd8c12650f233cdf82e821bd9b54a158b6336e7954db69c995641f4372	191
12	2478	142	legacy	0	6	0x06	PUSH	PUSH_ES	I86	BASE	PUSH	0x06 MODE!=2	b30903b87d1b292d030e11b6dea27a433352ccbb65d319fadb8031ded5be2564		16,32	16,32,64	16,32,64		False				False		PROHIBITED		0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	c4681efd7ef09679054c235774103cd993786a20948843291f6f6bcf3bddeb52	6a5261b5418ed291ce97394f113f3cd7ede329e0487c0f0bb27e7f90a03dc125	1747
13	2297	137	legacy	0	7	0x07	POP	POP_ES	I86	BASE	POP	0x07 MODE!=2	a0b524de32749f1ce182705e237d44495f7a7879e389d57274326c78fc888ec3	NOTSX	16,32	16,32,64	16,32,64		False				False		PROHIBITED		0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	5b26cb762cda28f5d60a1395eb35bd22de10bf8224ec92f2925cbd13900d9363	3aba69463ee920307f67deb6d82279a1e54d67cf1f184e4dfe31d1506063a620	884
14	1888	131	legacy	0	8	0x08	OR	OR_GPR8_GPR8_08	I86	BASE	LOGICAL	0x08 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	2460e9e436b509df56c73d3479991e2c734b0b352b88630350dbe48a78e3a1e4	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	c097217f9f35546cbf164e5dd32c92c23829f2357d7521d1524ef450e9edf109	957bd3ed2e84f31c55fdbc79c9cf47f77ccdfcff75c8d2fbb37339ce89d34387	295
15	1930	131	legacy	0	8	0x08	OR	OR_MEMb_GPR8	I86	BASE	LOGICAL	0x08 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	fbfb6b8af162a54f2d285af4746646a154b4bfa91c4c6be84e6ac9b0a4e4ab67	BYTEOP,LOCKABLE	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	4eecad0e5f5c1dfd4a7330394e81d6fdd45324f142ad1bbbc65ebb3979be03b5	294
16	1924	1357	legacy	0	8	0x08	OR_LOCK	OR_LOCK_MEMb_GPR8	I86	BASE	LOGICAL	0x08 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	522f0235d23f2648b67d1ab69e21d6eab67547c04b665b73e5f1555b8c44ad1d	BYTEOP,HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	59a62633cd8b4b56e35c329c0bc25bb0235bd5e3a83b86fe788e984bb766df98	f5265f4a8c86acc55feb1e11dc6f5f14910bb2e1701193039fc3f1120cf7d64a	284
17	1904	131	legacy	0	9	0x09	OR	OR_GPRv_GPRv_09	I86	BASE	LOGICAL	0x09 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	a991e117a3efebde00800477c5b14ea0ec8e4fe3ea4681497271d47eb7c782fc		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7d143f10222d7c46cae6f8984cb52073470e843b30e83e94045d5e268f1ed05d	c1dbf56ded10a1cc3ef8ac25ea39467251bd165f8ca017670845a5b5fe268025	297
18	1937	131	legacy	0	9	0x09	OR	OR_MEMv_GPRv	I86	BASE	LOGICAL	0x09 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	dedc9681d7c13fa79a41c93ea32e1a1a76bdf61a8bcb84f7560bd171f1cab6d7	LOCKABLE	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	8d460caba6927ad6fb64ee8b5704d0169f48dfa5266622b4dc223f917b5ce125	296
19	1927	1357	legacy	0	9	0x09	OR_LOCK	OR_LOCK_MEMv_GPRv	I86	BASE	LOGICAL	0x09 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	fb931d99db5e114244a00868000349459244a78f9a2bebf488a63c09a10bbbc7	HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	5706fe2ae5c53af5744cf10408138d2722ccabac2f4dc4e29b881990837a04c2	285
